nome_modelo|iteracao|mean_test_rmse|mean_train_rmse
regressao_s_v_r|3|59559.83720278856|3535271122.168116
regressao_s_v_r|4|59594.56094976016|3535219980.228486
regressao_s_v_r|5|59543.60338454874|3534988737.414157
regressao_s_v_r|6|59505.04575819442|3535662978.1334853
regressao_s_v_r|7|59565.695550156255|3535688323.5567575
regressao_s_v_r|8|59583.54232849999|3535613818.499723
regressao_s_v_r|9|59568.63750925865|3534762201.175222
regressao_s_v_r|10|59475.040125343556|3535168696.5838346
regressao_s_v_r|11|59582.15205832004|3534948184.4879236
regressao_s_v_r|12|59557.86122106893|3535747704.3888702
regressao_s_v_r|13|59602.31206946013|3534977401.298625
regressao_s_v_r|14|59548.78479647702|3535343443.075988
regressao_s_v_r|15|59603.884588813395|3535818479.840174
regressao_s_v_r|16|59616.19122155079|3535694763.8497343
regressao_s_v_r|17|59556.73650163085|3534998135.1208863
regressao_s_v_r|18|59579.40765639688|3535288179.91568
regressao_s_v_r|19|59602.108437376715|3535394846.8533072
regressao_s_v_r|20|59616.80575115098|3535482619.3799324
regressao_s_v_r|21|59560.476670351985|3535218820.0226736
regressao_s_v_r|22|59552.74003391921|3535391903.4408174
regressao_s_v_r|23|59590.53266316689|3535488331.9677978
regressao_s_v_r|24|59595.40801526527|3535542097.8223777
regressao_s_v_r|25|59543.65443742029|3535891454.0427804
regressao_s_v_r|26|59587.97875207276|3535541366.717659
regressao_s_v_r|27|59571.73201062078|3535514189.776231
regressao_s_v_r|28|59574.317764013715|3536114200.981673
regressao_s_v_r|29|59592.39985362432|3535322737.7456
regressao_linear_lasso|0|43151.75250766445|1842559067.4834805
regressao_linear_lasso|1|43136.40950765896|1842499562.8613434
regressao_linear_lasso|2|43178.303797679386|1842539017.716308
regressao_linear_lasso|3|43127.37174383844|1842455538.8524508
regressao_linear_lasso|4|43147.93234972526|1842478976.738758
regressao_linear_lasso|5|43148.677012325825|1842487382.6658115
regressao_linear_lasso|6|43158.94663766568|1842501979.7044759
regressao_linear_lasso|7|43163.41463277045|1842493493.5428982
regressao_linear_lasso|8|43147.806685516225|1842500812.4293125
regressao_linear_lasso|9|43138.68314518157|1842470297.817929
regressao_linear_lasso|10|43165.23208455789|1842338179.8000958
regressao_linear_lasso|11|43136.731097820215|1842569924.671503
regressao_linear_lasso|12|43170.9020145206|1842448209.0681407
regressao_linear_lasso|13|43161.92096507338|1842570199.8705668
regressao_linear_lasso|14|43152.48957086452|1842528027.817102
regressao_linear_lasso|15|43180.2086946291|1842523709.8134685
regressao_linear_lasso|16|43148.58075797556|1842561665.6266809
regressao_linear_lasso|17|43147.90215235764|1842470339.5521927
regressao_linear_lasso|18|43157.224154487725|1842453278.9801147
regressao_linear_lasso|19|43181.342169600866|1842426761.352478
regressao_linear_lasso|20|43168.38657899372|1842500414.3606117
regressao_linear_lasso|21|43142.95155295179|1842525206.1453915
regressao_linear_lasso|22|43127.77073377956|1842532964.5327797
regressao_linear_lasso|23|43159.19688099529|1842537766.5051785
regressao_linear_lasso|24|43168.305727757324|1842433888.0049992
regressao_linear_lasso|25|43167.06711024165|1842430945.7124362
regressao_linear_lasso|26|43182.234754466124|1842439020.0373528
regressao_linear_lasso|27|43152.75517898078|1842481348.9196582
regressao_linear_lasso|28|43100.254287589974|1842637434.0426555
regressao_linear_lasso|29|43146.55908132314|1842582228.6988862
regressao_linear|0|42997.95623682222|1842730104.5960288
regressao_linear|1|43006.652306802265|1842695092.7765992
regressao_linear|2|43017.584244153855|1842705423.879147
regressao_linear|3|42998.834414968806|1842606439.79132
regressao_linear|4|43008.179224331136|1842659259.007548
regressao_linear|5|43006.20875923422|1842627612.3660443
regressao_linear|6|42998.04023833515|1842641782.1647618
regressao_linear|7|43009.005401702096|1842643772.7234395
regressao_linear|8|43019.44373819372|1842674117.2174802
regressao_linear|9|43013.309907543044|1842652826.12312
regressao_linear|10|43010.578066035916|1842489613.0369792
regressao_linear|11|42989.89620409665|1842710456.057013
regressao_linear|12|43012.98424545266|1842617322.9953942
regressao_linear|13|43006.51287873414|1842715384.8880162
regressao_linear|14|43009.31346504272|1842679249.008226
regressao_linear|15|43025.55228200376|1842666521.420424
regressao_linear|16|43009.03971348412|1842706119.754794
regressao_linear|17|43017.42392108337|1842665887.8323224
regressao_linear|18|43039.62715189254|1842598830.33429
regressao_linear|19|43044.98613793|1842580853.5409653
regressao_linear|20|43021.34083183911|1842651490.5131059
regressao_linear|21|43001.767037931924|1842682137.9667447
regressao_linear|22|42997.45033525594|1842698778.8241382
regressao_linear|23|43003.51970379489|1842723744.275561
regressao_linear|24|43035.847601025445|1842571713.3879402
regressao_linear|25|43011.2915932598|1842591361.9697833
regressao_linear|26|43028.945919421545|1842636887.4406235
regressao_linear|27|43009.41950585981|1842646220.033567
regressao_linear|28|42967.69971005632|1842794830.7841034
regressao_linear|29|43005.80883250367|1842734485.1585813
regressao_linear_ridge|0|45171.26056083809|1842559247.988401
regressao_linear_ridge|1|45055.86945335181|1842499743.599514
regressao_linear_ridge|2|45172.614987861394|1842539199.4238067
regressao_linear_ridge|3|45069.48439638844|1842455719.306086
regressao_linear_ridge|4|45134.50379979576|1842479157.9588025
regressao_linear_ridge|5|45171.39455801531|1842487563.260355
regressao_linear_ridge|6|45285.71668840926|1842502161.7495084
regressao_linear_ridge|7|45190.070726736754|1842493674.9003205
regressao_linear_ridge|8|45049.63316218219|1842500993.1928933
regressao_linear_ridge|9|45062.44093725504|1842470479.236272
regressao_linear_ridge|10|45224.90953443533|1842338360.1772606
regressao_linear_ridge|11|45164.95760605669|1842570107.1403897
regressao_linear_ridge|12|45200.35865365581|1842448390.596449
regressao_linear_ridge|13|45231.91424554991|1842570380.3176289
regressao_linear_ridge|14|45172.52896462098|1842528208.5409503
regressao_linear_ridge|15|45272.975855746045|1842523890.763432
regressao_linear_ridge|16|45124.67861378398|1842561846.9864266
regressao_linear_ridge|17|45041.14613230508|1842470520.9668133
regressao_linear_ridge|18|45014.54240575275|1842453459.6474586
regressao_linear_ridge|19|45128.299802193964|1842426942.8103683
regressao_linear_ridge|20|45196.72529063282|1842500595.6461785
regressao_linear_ridge|21|45156.029642831316|1842525386.8956482
regressao_linear_ridge|22|45028.135717175086|1842533145.8371506
regressao_linear_ridge|23|45180.449074620905|1842537947.9355187
regressao_linear_ridge|24|45169.17853672076|1842434069.076575
regressao_linear_ridge|25|45218.72802451483|1842431126.3797042
regressao_linear_ridge|26|45171.31560204237|1842439200.9884236
regressao_linear_ridge|27|45118.76889548875|1842481530.0359306
regressao_linear_ridge|28|45075.338506035005|1842637614.7823143
regressao_linear_ridge|29|45124.74519753679|1842582409.114141
regressao_elastic_net|0|43235.92806896654|1863974583.824419
regressao_elastic_net|1|43247.175852159955|1863934528.5795274
regressao_elastic_net|2|43250.942158438775|1863976573.0798728
regressao_elastic_net|3|43235.80370840857|1863875864.6840453
regressao_elastic_net|4|43249.441074329814|1863907526.3142045
regressao_elastic_net|5|43238.221742837224|1863903814.055615
regressao_elastic_net|6|43231.0646445742|1863911789.665842
regressao_elastic_net|7|43241.3699501145|1863919451.1909974
regressao_elastic_net|8|43259.987224863595|1863921338.9707665
regressao_elastic_net|9|43249.66591970038|1863906665.2390277
regressao_elastic_net|10|43240.18145527476|1863752556.4219353
regressao_elastic_net|11|43230.34684250156|1863981286.6068025
regressao_elastic_net|12|43246.12792882415|1863889903.1152396
regressao_elastic_net|13|43246.03954118434|1863970943.4870808
regressao_elastic_net|14|43250.61773765004|1863933712.7203236
regressao_elastic_net|15|43264.0176967143|1863926121.247577
regressao_elastic_net|16|43248.157046657594|1863967805.8785577
regressao_elastic_net|17|43257.04315914743|1863913950.9184823
regressao_elastic_net|18|43275.98274689168|1863860278.0863967
regressao_elastic_net|19|43280.100211644654|1863844002.8401387
regressao_elastic_net|20|43257.69225102679|1863920011.6227672
regressao_elastic_net|21|43237.43863051891|1863946582.1431065
regressao_elastic_net|22|43236.418814000164|1863948397.121415
regressao_elastic_net|23|43242.50290621474|1863970359.2192333
regressao_elastic_net|24|43274.149624451486|1863833386.3124142
regressao_elastic_net|25|43245.16637640608|1863854023.3898644
regressao_elastic_net|26|43270.89673470576|1863871599.418061
regressao_elastic_net|27|43243.716355237666|1863915519.2691808
regressao_elastic_net|28|43210.20299138948|1864045012.3013375
regressao_elastic_net|29|43245.112137434175|1863993088.6520393
